,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
113,147.55,148.06,145.28,145.6,135.757030811,4367387,0.0000,1.0,2021-06-17
114,149.76,149.76,147.22,147.83,137.836276543,3795420,0.0000,1.0,2021-06-16
115,149.85,149.91,148.6,149.36,139.262844244,2513281,0.0000,1.0,2021-06-15
116,150.71,151.03,148.655,150.03,139.887550361,3344845,0.0000,1.0,2021-06-14
117,150.43,151.845,150.37,151.28,141.053046848,3438255,0.0000,1.0,2021-06-11
118,151.47,152.84,149.76,150.54,140.363072927,4758488,0.0000,1.0,2021-06-10
119,149.03,151.07,148.82,150.67,140.484284562,5303252,0.0000,1.0,2021-06-09
120,148.12,150.2,148.12,149.07,138.992449059,5080099,0.0000,1.0,2021-06-08
121,147.55,148.74,147.17,148.02,138.013432009,3462712,0.0000,1.0,2021-06-07
122,146.0,147.55,145.76,147.42,137.453993696,3117905,0.0000,1.0,2021-06-04
123,144.91,145.88,144.04,145.55,135.710410951,4130741,0.0000,1.0,2021-06-03
124,144.62,145.75,144.11,145.72,135.868918473,2786916,0.0000,1.0,2021-06-02
125,145.0,145.83,143.75,144.19,134.442350773,2417455,0.0000,1.0,2021-06-01
126,144.21,144.33,143.485,143.74,134.022772038,2534811,0.0000,1.0,2021-05-28
127,143.82,144.77,143.63,143.82,134.097363813,5630345,0.0000,1.0,2021-05-27
128,143.5,143.9894,143.04,143.38,133.68710905,3083789,0.0000,1.0,2021-05-26
129,144.92,145.0,143.2,143.79,134.069391897,3937323,0.0000,1.0,2021-05-25
130,145.06,145.39,144.18,144.72,134.936521284,3297570,0.0000,1.0,2021-05-24
131,144.28,145.699,144.28,144.74,134.955169227,4033482,0.0000,1.0,2021-05-21
132,143.12,144.91,142.16,143.88,134.153307644,4112690,0.0000,1.0,2021-05-20
133,142.32,143.2,140.92,143.19,133.509953583,4300732,0.0000,1.0,2021-05-19
134,144.78,145.3,143.23,143.91,134.18127956,3824050,0.0000,1.0,2021-05-18
135,144.44,145.8,144.33,145.11,135.300156188,4275172,0.0000,1.0,2021-05-17
136,145.11,145.69,143.96,144.68,134.899225396,2747385,0.0000,1.0,2021-05-14
137,141.45,144.9,141.28,144.17,134.423702829,4598920,0.0000,1.0,2021-05-13
138,143.84,144.15,141.14,141.3,131.747722895,5959579,0.0000,1.0,2021-05-12
139,144.99,145.19,142.9,144.22,134.470322689,7126404,0.0000,1.0,2021-05-11
140,145.8,148.38,145.8,146.17,136.288497209,6983377,0.0000,1.0,2021-05-10
141,145.92,146.14,144.57,145.46,135.626495204,7003467,1.6400,1.0,2021-05-07
142,145.26,148.515,145.18,148.42,136.843537853,7503487,0.0000,1.0,2021-05-06
143,145.94,145.94,144.97,145.22,133.893131431,4999900,0.0000,1.0,2021-05-05
144,144.41,146.59,144.33,145.75,134.381792495,6350479,0.0000,1.0,2021-05-04
145,143.81,145.75,143.55,144.75,133.459790488,5733463,0.0000,1.0,2021-05-03
146,143.7,143.83,140.55,141.88,130.813644728,8872181,0.0000,1.0,2021-04-30
147,144.13,148.74,142.98,144.24,132.989569464,4353880,0.0000,1.0,2021-04-29
148,142.92,143.4,142.1,143.0,131.846286976,3768129,0.0000,1.0,2021-04-28
149,141.69,142.56,140.75,142.01,130.933504989,3884037,0.0000,1.0,2021-04-27
150,142.42,143.63,141.48,141.57,130.527824106,4710763,0.0000,1.0,2021-04-26
151,141.31,143.61,140.95,142.43,131.320745832,4556700,0.0000,1.0,2021-04-23
